sign,date,prediction
taurus,2021-03-10,"Настало время превратить в жизнь свою старую идею. Вы достаточно томили ее внутри и продумали все до мелочей. Тем более, что сегодня вам попадутся авторитетные люди, которые будет не против помочь. Вообще, в этот день вам будет крупно везти на работе – вы акцентируйте внимание на важных мелочах, которые могут либо испортить все картину, либо украсить и изменить ее до неузнаваемости."
taurus,2021-03-11,"Расслабьтесь и плывите по течению. Сегодня не стоит ждать сюрпризов от судьбы, да и неприятности не предвидятся. Полезно в этот день оценивать свои достижения, подсчитывать ресурсы и выстраивать планы на будущее. Также звезды советуют почаще общаться по деловым вопросам – вы легко добьетесь того, чего желали, и быстро придете с оппонентом к компромиссу. "
taurus,2021-03-12,"Напряжение нарастает к вашему дню рождения. Совсем скоро придется планировать праздник, а у вас нет никаких сил и мыслей. Постарайтесь отмахнуть эту идею и сконцентрировать внимание на насущных делах. Вообще, сегодня вам будет сложно заниматься обычными рутинными задачами – весь день будет хотеться делать только то, что вам нравится. Соберите волю в кулак и завершить важные дела до вечера, а потом можете делать все, что хочется."
taurus,2021-03-13,"Звезды добавят вам столько энергии, что захочется взяться за все и сразу, но не стоит распылять свое внимание и силы. Попробуйте сконцентрироваться на самом важном на данный момент и работать только с этим – так вы будете быстрее решать проблемы и раскалывать сложные задачки, как орехи. На любовном фронте все прекрасно, но не помешает почаще говорить партнеру, как он вам дорог."
taurus,2021-03-14,"Сегодня вас ждет много денег или много тем, связанных с финансами. Вообще, звезды советуют напомнить начальству о повышении, которое вам обещали. Время не ждет! Также полезно встречаться с партнерами, заводить деловые знакомства, которые в будущем могут вылиться во что-то большее – любовь или дружбу. Но не верьте тем, кто обещают вам золотые горы – скорее всего вас обманывают."
taurus,2021-03-15,"Полезно отоспаться и по возможности встать попозже – утром выдастся неблагоприятное для дел и работы время. Зато можно общаться до посинения с близкими и любимыми – они поднимут вам настроение и зададут правильный тон этому дню. Вообще, сегодня удача будет сопутствовать вам во всем, поэтому постарайтесь взяться за самые трудные задачи и подтянуть хвосты на работе."
taurus,2021-03-16,"Финансовые темы сегодня будут занимать все ваши мысли. Постарайтесь хотя бы иногда отвлекаться от них и думать о чем-то позитивном, радостном. Интуиция в этот день будет работать на полную мощность, и вы можете смело доверяться ей в любых вопросах. Полезно в этот день отдыхать на природе, дышать свежим воздухов – таким образом вы будете очищаться от негативной энергетики."
taurus,2021-03-17,"Вы загрузили себя делами по самые уши – постарайтесь выделять себе я в этот день пятиминутки, чтобы расслабиться и отдохнуть. В то же время отходить от плана – плохая идея, ведь мелкие дела могут забрать у вас один или даже несколько часов. Двигайтесь свободно и в комфортном темпе и обязательно настраивайтесь на позитив – так работа пойдет куда быстрее."
taurus,2021-03-18,"Отличный день, чтобы заняться чем-то новым, тем, что вы так давно планировали и ждали. Тем более, что вам сегодня круто везет – ваше обаяние на пике, и вы можете заинтересовывать людей по щелчку пальцев. Также звезды советуют сегодня смело признаваться в своих чувствах и пытаться передвинуть отношения на новый уровень – сейчас это пройдет легко и быстро. Тельцы, сегодня вас ждет что-то новое, к чему вам поначалу непросто будет привыкнуть. Но, если вы доверитесь своему чувству прекрасного, это позитивно отразится на вашей жизни. "
taurus,2021-03-19,"Не стоит действовать под гнетом чужого мнения и своих собственных эмоций – сегодня все это может повести вас совсем не по той дороге, которой стоит придерживаться. К слову, интуиция сегодня не только бесполезна, но и вредна – может подсказать неверное решения и неправильные ответы. А вот общаться с самодостаточными людьми полезно – они могут вдохновить вас на великие вещи.Тельцы, сегодня вас ждет что-то новое, к чему вам поначалу непросто будет привыкнуть. Но, если вы доверитесь своему чувству прекрасного, это позитивно отразится на вашей жизни. "
taurus,2021-03-20,"Самое время рассказать близким, как они вам дороги, и признаться в чувствах тому, от кого уже давно их скрывали – звезды уверены, что вам ответят взаимностью. Также полезно в этот день тратить деньги на себя-любимого: купите себе то, что так давно хотели и не задумывайтесь о цене – иногда можно позволить себе большее, чем обычно. Кстати, все вещи, приобретенные сегодня, прослужат вам очень долго."
taurus,2021-03-21,"Ваш мир переворачивается с ног на голову, точнее – ваше восприятие мира. Не волнуйтесь, эти фатальные изменения должны происходить в жизни каждого Стрельца. А пока все активно меняется, очень важно найти верных союзников, вычислить возможности, укрепить свой статус или сесть в кресло начальника. Только чувствуйте границы и ждите подходящее время, иначе в спешке упустите все шансы. Также звезды не советуют делиться своими планами – они еще не доведены до ума."
taurus,2021-03-22,"Сегодня в ваши уши может залететь интересная или даже шокирующая информация. Не пропустите этот момент, иначе изменения еще долго не придут в вашу жизнь. Также полезно в этот день общаться с коллегами, учиться на чужих ошибках и анализировать свои собственные промахи. Кроме того, звезды советуют пристально следить за своим самочувствием – стресс может ударить по организму."
taurus,2021-03-23,"Не останавливайтесь на хорошем, не соглашайтесь на среднее качество чего-либо, сегодня вы можете взять лучшее! Тем более ваша удача в этот день ходит за вами по пятам – поэтому выжимайте из ситуаций и обстоятельств все, хватайте все шансы и уже совсем скоро ваша жизнь перевернется с ног на голову. А вот с эмоциями стоит быть осторожнее – слишком острая и экспрессивная реакция вам не на руку."
taurus,2021-03-24,"Тратьте меньше денег – сегодня можно очень быстро спустить все, заглянув даже в продуктовый магазин. Постарайтесь держать себя в руках и не поддаваться минутным слабостям и желаниям. Также нежелательно говорить о важных и серьезных вещах с родителями и близкими людьми – вас не только не поймут, но и могут высмеять или вовсе довести диалог до крупного скандала."
taurus,2021-03-25,"Сегодня многие проблемы и обстоятельства будут играть судьбоносную роль, и только вам решать – позитивную или негативную. Постарайтесь разглядеть в сложных ситуациях новые возможности и обернуть все в свою сторону. Полезно в этот день балансировать между работой и домом – не допускайте и шанса какого-либо перевеса, иначе придется очень долго разруливать неприятную положение."
taurus,2021-03-26,"Не стоит выходить из зоны комфорта лишний раз – сегодня вам будет крупно везти только в пределах знакомой и спокойной обстановки. Осторожнее с новыми знакомыми – в этот день вы можете увлечься и совершить поступки, которыми позже вряд ли будете гордиться. Жаловаться кому-либо и разговаривать о проблемах даже с близкими запрещается, лучше поделитесь приятными вестями."
taurus,2021-03-27,"Если сегодня вы намерены поработать, то у вас все будет получаться даже лучше, чем в будничный день. Постарайтесь браться за самые сложные дела, чтобы быстрее расправиться с ними. Также подходящий день, чтобы вспомнить о хобби – сейчас вы можете сотворить что-то по-настоящему прекрасное. Кстати, неплохо подумать о том, как можно заработать на этом неплохие деньги."
taurus,2021-03-28,"Хватит контролировать все вокруг – так вы сужаете не только свои, но и возможности близких вам людей. Расслабиться и плыть по течению – задача на этот день, за выполнение которой звезды обязательно вас наградят. Также звезды советуют принимать решения молниеносно – только так вы успеете поймать удачу за хвост. Вечером захочется любви и романтики, и если у вас нет партнера, выходите на «охоту»."
taurus,2021-03-29,"В вашу жизнь врываются судьбоносные перемены – не бойтесь этого момента, ведь вместе с изменениями к вам приходят и возможности. Постарайтесь вычленить и воспользоваться шансами – они перевернут вашу жизнь с ног на голову. А вот инициативы лучше попридержать – сегодня вас могут неправильно понять и отказать, что испортит не только ваше настроение, но и карьеру."
taurus,2021-03-30,"Сегодня вам жирно везет, но у удачи будет срок годности, поэтому постарайтесь поймать этот момент и воспользоваться возможностями. Также звезды советуют чаще высказывать свое мнение и делиться с другими идеями – вам может попасться человек, который поможет воплотить в реальность ваши мысли. А вот с покупками в этот день может не повезти – у вещей будет не лучшее качество."
taurus,2021-03-31,"Головокружительные перемены уже на горизонте. Постарайтесь подготовиться к ним физически и психологически, чтобы сразу же воспользоваться возможностями, которые они несут. Наводите мосты, знакомитесь с авторитетными людьми, просите помощь у близких – все это пригодится вам для будущего. Также полезно сегодня обсуждать финансовую сторону вопроса, иначе ваши партнеры могут обмануть вас."
taurus,2021-04-01,"Сегодня вам захочется бежать навстречу приключениям и ярким эмоциям. Звезды не запрещают, но напоминают о безопасности – очень важно прихватить с собой маску и перчатки, ведь коронавирус не дремлет. Также в этот день для вас открываются любые двери, но стоит найти правильный подход к каждому занятию, чтобы в конечном итоге это все не обернулось новыми проблемами."
taurus,2021-04-02,"Подтягивайте хвосты на работе и доводите до конца все личные дела – сегодня очень важно закончить прежние задачи, чтобы завтра начать все с чистого листа. Также звезды советуют не отказываться от каких-либо предложений – даже самые сомнительные из них могут «выстрелить». Полезно этим вечером побыть с близкими, поговорить с ними об их проблемах, обсудить будущее."
taurus,2021-04-03,"Водоворот событий не дает вам и шанса подумать о будущем, поэтому в этот день стоит остановиться и построить планы на ближайшие несколько недель, а то и на год. Это поможет вам трезво оценить свои силы и подумать, как их преумножить. Также звезды планируют заниматься делами только во второй половине дня – утро будет слишком ленивым для чего-то серьезного."
taurus,2021-04-04,"Сегодня вы готовы помогать всем и каждому. При этом любое ваше действие понесет выгоду на только просящему, но и вам самому. А вот с откровенными разговорами стоит быть осторожнее – вы можете сболтнуть лишнего и либо выдать чью-то тайну, либо оскорбить оппонента. В любом случае вы сделаете кому-то больно и испортите отношения. Также звезды советуют не совершать покупки через интернет – можете спустить деньги зря."
taurus,2021-04-05,"В этот день стоит меньше суетиться – можно проворонить головокружительные шансы и интересные знакомства. Поэтому утром полезно наводить порядок в тех делах, где очень много хаоса и неразберихи. Также полезно в этот день расставить приоритеты и после взяться за что-то новенькое – проекты, начатые сегодня, могут привести вас к успеху очень быстро и легко."
taurus,2021-04-06,"Сегодня вы склонны делать нестандартные выборы, и если одни обернутся для вас победой, то другие могут, наоборот, испортить все, чего вы достигли к этому моменту. Так что будьте осторожны и думайте, прежде чем ответить. Очень полезно расставить приоритеты и понять в каком направлении двигаться дальше по своему пути, чтобы получить большее, нежели вы имеете."
taurus,2021-04-07,"Язык ваш сегодня поможет уговорить кого угодно, и стоит чаще пользоваться этим даром, а не растрачивать время зря. Поэтому полезно в этот день наведаться к начальству и поговорить о перспективах, о вашей карьере в этой компании. А вот покупки сегодня вряд ли оправдают себя – их качество будет хуже, чем вы рассчитывали. Вечер же лучше провести в семейном кругу за приятными разговорами."
taurus,2021-04-08,"Работа спорится в ваших руках, а отношения с коллегами становятся все лучше и лучше. Не бойтесь проявлять знаки внимания – вам ответят взаимностью. Также можно флиртовать налево и направо – сегодня вы можете встретить любовь всей своей жизни. Полезно прислушиваться к чужому мнению – возможно, некоторые советы действительно помогут вам в трудной ситуации."
taurus,2021-04-09,"Укрощайте свои мимолетные желания – сегодня они до хорошего вас точно не доведут: можно отравиться, испортить отношения или разочароваться в чем-то. Также звезды советуют общаться в этот день только с близкими людьми – новые знакомые и приятели не будут понимать вас от слова совсем. Вредно покупать что-либо – вещи, приобретенные в этот день, не принесут вам пользы или радости."
taurus,2021-04-10,"Сегодня удача ходит за вами по пятам. Поэтому старайтесь пользоваться благоволением фортуны и браться за большее количество дел, чтобы стать настоящим победителем в конце этого дня. Полезно заниматься делами, на которые в будни не хватало времени и сил. При этом не стоит забывать об отдыхе – очень важно в этот день чаще расслабляться и заниматься делами, которые приносят удовлетворение."
taurus,2021-04-11,"День для максимального расслабления. Постарайтесь сегодня отдыхать, а не заниматься рабочими вопросами. Уборка тоже под запретом – в этот день пользы она точно не принесет. В сложных ситуациях за поддержкой стоит идти к близким и любимым или подключать интуицию – она подскажет ответ и скажет, по какому пути двигаться дальше. Также стоит беречь нервы и снимать стресс экологично – физическими упражнениями или сном."
taurus,2021-04-12,"Не расстраивайтесь, если у вас что-то не получается – звезды проверяют вас на прочность, и стоит и дальше гнуть свою линию и приниматься за непокорные дела. Уже вечером вы сможете добиться того, чего хотели изначально. Также полезно знакомиться – можно встретить человека, который будет не только хорошим партнером, но и верным другом. Вечером ждите приятных новостей от любимых людей."
taurus,2021-04-13,"Последние несколько дней были для вас очень напряженными, а сегодня картина может только ухудшиться, но для вас это не будет страшным – вы сможете со всем разобраться. Вообще, звезды советуют в такой сложный для вас день больше отдыхать в одиночестве или заниматься домашними делами. Если не отвлекаться на разговоры на работе, то вы можете не только быстро закончить, но и впечатлить проделанной работой начальника."
taurus,2021-04-14,"Сегодня вам придется заниматься чем-то очень скучным, но Луна в вашем знаке поможет довести эти дела до конца, несмотря на то, что вас они совершенно не вдохновляют. Прошлые возможности могут вновь ворваться в вашу жизнь – подумайте, готовы ли вы сейчас взять быка за рога или стоит подождать еще некоторое время. Также звезды советуют собрать больше информации о том, чем вы будете заниматься в ближайшем будущем – потом скажете нам «спасибо»."
taurus,2021-04-15,"Пора согласовывать мелочи в своих проектах с коллегами и партнерами. При этом стоит четко понимать, что вы хотите, и биться за это всеми своими силами. Неожиданные ситуации могут привлечь к вам внимание многих людей, поэтому не теряйте возможности прорекламировать себя и свои навыки – можете найти новых партнеров или получить интересные предложения."
taurus,2021-04-16,"Пытайтесь искать альтернативные варианты и другие пути решения проблем – так вы сможете быстро справиться и потратить меньше энергии, которой сейчас у вас и так немного. Также полезно общаться с людьми, которые знают, чего хотят от жизни, которые могут вдохновить вас на великие дела. Полезно чаще отдыхать и отвечать на потребности своего организма – ему может не понравиться, что вы так много работаете."
taurus,2021-04-17,"Время задавать вопросы и находить ответы на них. Сегодня вы сможете решить все загадки, поэтому не теряйте времени зря. Также звезды советуют не только задуматься о будущем, но и начинать делать что-то для скорых перемен. Но торопиться не стоит – лучше просчитать все свои ходы, а уже потом двигаться в правильном направлении. В личных отношениях сейчас тоже полезно двигаться вперед – поговорите с партнером о следующем шаге."
taurus,2021-04-18,"Сегодня вас будет подпитывать азарт, конфликт и вдохновение, поэтому рутинные дела будут идти плохо, а вот в карьере намечаются глобальные перемены – вы настроены обойти всех конкурентов. Звезды советуют положиться на судьбу – если некоторые проекты невозможно сдвинуть с места, значит, не пришло время их реализации, пока стоит отложить. Отдохнуть и перевести дух от бесконечных дел вы сможете только вечером."
taurus,2021-04-19,"Сегодня все будет складываться как нельзя удачно. Появится много неожиданных поводов для радости, а Вселенная подготовит крутую площадку для старта новых начинаний. Вы наконец-то поймете, что нужно сделать, чтобы сбылось ваше давнее желание. И даже успеете сделать что-то из запланированного. Сил и энергии у вас достаточно. Тем более близкие рядом всегда помогут и поддержат.  "
taurus,2021-04-20,"Сегодня улыбка не будет сходить с вашего лица — день будет полон радостных событий. Что бы вы не пробовали делать, у вас все получается отлично. Даже фортуна на вашей стороне: ищите удачные совпадения. Вечер стоит провести в кругу близких. У них есть для вас хорошие новости. Кроме того, получится наконец решить давний конфликт и найти общий язык со всеми родными."
taurus,2021-04-21,"Как насчет того, чтобы завести новых друзей? Сегодняшний день идеально подходит для того, чтобы привлечь внимание интересных людей и завести полезные знакомства. Не удивляйтесь, если кто-то из них влюбится в вас с первого взгляда. Новые задачи могут вызвать трудности, но не бросайте все на полпути. Поднажмите и все получится."
taurus,2021-04-22,"Ваше обаяние неплохо помогает вам в работе. Ну кто может отказать такому открытому и дружелюбному человеку? Это может послужить отличной возможностью завершить старый конфликт или наладить отношение с теми, с кем раньше не получалось. Во второй половине дня стоит проанализировать расходы: вы точно тратите деньги на то, что вам необходимо?"
taurus,2021-04-23,"Вы сосредоточены и внимательны к деталям, поэтому день хорошо подойдет для решения сложных задач. Главное — вы умеете учиться на чужих ошибках, поэтому избежите собственных промахов. Отношения с близкими складываются хорошо, вы мастерски уворачиваетесь от возможных конфликтов. Вечер проведите с близкими и любимыми – они соскучились по вам."
taurus,2021-04-24,"В вашей голове рождается много отличных идей. Многие из них захочется воплотить в жизнь тут же. Здесь и сейчас. И это здорово. Тем более возможность скоро представится. Нужно лишь увидеть ее и не суметь воспользоваться шансом. Научитесь слушать интуицию, и тогда советы будут не нужны. Если утром возможны какие-то неприятные разговоры или конфликты, то вечером все будет более чем спокойно. Будет время обдумать планы на будущее и обсудить их с близкими."
taurus,2021-04-25,"Начало дня будет весьма напряженным. С самого утра все идет не по плану, и это выводит вас из себя. Сделайте глубокий вздох. Повлиять на ситуацию вы все равно никак не можете. Остается сохранять самообладание и ждать, когда все закончится. А это будет уже скоро. Пройденные трудности помогут взглянуть на ситуацию под другим углом и заметить возможности, на которые вы раньше не обращали внимания."
taurus,2021-04-26,"Будьте инициативны! Сейчас ваши идеи могут поддержать авторитетные люди и в будущем они принесут вам не только деньги, но и небольшую славу. Чаще общайтесь и знакомьтесь – сегодня вы можете найти хороших друзей и даже любовь всей своей жизни. Также звезды советуют обращать внимание на подсказки судьбы – ваша интуиция поможет растолковать их правильно. А вот на интересные предложения не стоит соглашаться сразу – сначала необходимо взвесить все «за» и «против»."
taurus,2021-04-27,"Можете выдохнуть – все стрессы позади, и можно спокойно заниматься привычными делами. Также именно сейчас стоит задуматься о том, как увеличить свои доходы. Можно поискать подработку – сегодня, скорее всего, вы найдете хороший вариант. Полезно вновь заняться сложными делами, которые прежде не давались вам, – вы поймете, как их решать. А вот торопиться в этот день не стоит – можно упустить важную мелочь. "
taurus,2021-04-28,"Попытайтесь сегодня смотреть на все ситуации через призму позитива. Даже на те проблемы, которые вы не можете решить. Стабильность и золотая середина будут где-то очень далеко от вас, но вы сможете и без них решить неприятности. Также полезно в этот день заниматься своими личными делами, а не теми, которые вам навязывает общество и близкие люди."
taurus,2021-04-29,"Сегодня вы можете добиться того, на что даже не рассчитывали, поэтому смело беритесь за сложные дела. Тем более, что энергии и энтузиазма у вас в этот день хоть отбавляй. Полезно разговаривать с авторитетными людьми – вам могут сделать интересное предложение, от которого будет сложно отказаться. Также звезды советуют вам заняться финансовыми вопросами – посчитайте деньги, найдите возможности сэкономить. "
taurus,2021-04-30,"Вы в эпицентре сложных ситуаций. Постарайтесь в этот день уйти в тень, прежде чем что-то произойдет. Также полезно меньше разговаривать, чтобы чужая энергетика не повлияла на вашу жизнь. А вот на личном фронте все идет куда лучше – вам предстоит серьезный разговор и возможность передвинуть отношения на новый уровень. Главное – побольше молчать, чтобы не обидеть любимого словом."
taurus,2021-05-01,"Сегодня так много неслучайных случайностей, что кругом идет голова. Но старайтесь чувствовать землю под ногами, иначе позже можете пожалеть о некоторых словах и действиях. На многие предложения в этот день стоит ответить согласием – они обязательно выстрелят в будущем, стоит только подождать. Полезно в этот день делать что-то новое – успех будет во всем, за что вы возьметесь."
taurus,2021-05-02,"Очень важно в этот день не брать на себя больше, чем вы можете выполнить. Поэтому заранее рассчитывайте свои силы, чтобы лишний раз не нагрузить свой организм. Вообще, звезды советуют сегодня все проблемы и задачи решать самостоятельно, не прося у кого-либо помощи. Возможно, с кем-то из близких будет сложно найти общий язык, но это не значит, что не стоит пытаться – спустя время вы сможете найти компромисс."
taurus,2021-05-03,"Пора становиться эгоистом – сейчас вы можете получить немалую выгоду, если будете думать исключительно о себе любимом. Можно воспользоваться лестью и комплиментами, чтобы переманить на свою сторону нужных или авторитетных людей. Также звезды советуют проводить больше времени с семьей – это поможет вам отдохнуть психологически и понять, в каком направлении вести свою жизнь и дальше."
taurus,2021-05-04,"Двигайтесь в направлении своих желаний. В этот день стоит браться только за те дела, которые вам интересны, которые приносят радость. А вот работать в этот выходной не стоит – можно наделать массу ошибок и только испортить привычный ход дел. Если вы одиноки, смело знакомьтесь с симпатичными людьми – отношения, начатые сегодня, будут крепче каната."
taurus,2021-05-05,"Сегодня вы расстраиваетесь по щелчку пальцев. Постарайтесь не принимать близко к сердцу ситуации, которые не касаются вас и лишний раз реже общайтесь с людьми, чтобы не слышать ни плохих новостей, ни негатива. Включите позитивное мышление и ищите возможности даже в простых ситуациях. Ищите поддержки у близких людей – в этот день вам будет очень важны приятные и воодушевляющие слова."
taurus,2021-05-06,"Безумно эмоциональный день, который и зарядит вас позитивом, и вдохновит на нечто большее. Также сегодня стоит обратить внимание на советы и идеи – даже самые нестандартные из них могут помочь вам или пригодиться позже. Полезно заниматься уборкой вместе всей семьей, распределяя обязанности – так ваша связь с близкими станет крепче. Больше времени проводите на свежем воздухе – за это ваш организм скажет вам «спасибо»."
taurus,2021-05-07,"Окружающие сегодня будут выводить вас из себя. Постарайтесь сохранять спокойствие и считать до десяти в самые сложные моменты. Помните, что агрессией вы только ухудшите ситуацию. Вообще, полезно в этот день рассчитывать только на свои силы – кто-то другой не сможет выполнить задачи так хорошо, как вам бы хотелось. Вечером все станет лучше – ваше настроение поднимется, а возможности будут приходить оттуда, откуда вы и не ждали."
taurus,2021-05-08,"Этот день лучше провести в гордом одиночестве, если хотите быстрее расправиться с делами. Знакомые и незнакомцы будут отвлекать вас от действительно важных задач. Но если избежать общения не получается, то постарайтесь быть дружелюбным и не настаивать на своем, иначе можете разругаться с оппонентом в пух и прах. Также полезно сегодня планировать будущее и размышлять о былом."
taurus,2021-05-09,"В этот день на вас навалится много проблем и дел, но вы в силах справиться со всем. Только не стоит рассчитывать на чью-либо помощь или поддержку – сейчас у ваших близких не меньше забот. Обращайте внимание на самочувствие и позаботьтесь о здоровье – выберите диету, запишитесь в фитнес-клуб и бывайте на свежем воздухе чаще. Чем больше сейчас вы делаете для себя, тем крепче становится ваш иммунитет."
